campo,fecha,dias,oil_bpd,agua_bpd,gas_ksm3d
16/1-12 Troldhaugen,2021-08-01,31,1324.9,0.0,0.0
16/1-12 Troldhaugen,2021-09-01,30,5394.6,1507.5,57.67
16/1-12 Troldhaugen,2021-10-01,31,2378.0,1850.4,80.65
16/1-12 Troldhaugen,2021-11-01,30,2721.4,2486.6,66.33
16/1-12 Troldhaugen,2021-12-01,31,935.4,848.1,33.55
16/1-12 Troldhaugen,2022-01-01,31,1913.3,1878.8,20.0
16/1-12 Troldhaugen,2022-02-01,28,3634.6,4371.4,75.71
16/1-12 Troldhaugen,2022-03-01,31,1686.1,2919.7,46.13
16/1-12 Troldhaugen,2022-04-01,30,2.1,0.0,22.67
16/1-12 Troldhaugen,2022-05-01,31,0.0,0.0,0.0
16/1-12 Troldhaugen,2022-06-01,30,2327.2,3082.0,45.67
16/1-12 Troldhaugen,2022-07-01,31,2029.0,2848.7,20.97
16/1-12 Troldhaugen,2022-08-01,31,2357.7,3769.8,8.06
16/1-12 Troldhaugen,2022-09-01,30,2100.8,3989.8,63.33
16/1-12 Troldhaugen,2022-10-01,31,1960.0,3903.7,56.45
16/1-12 Troldhaugen,2022-11-01,30,1840.8,3725.7,50.0
16/1-12 Troldhaugen,2022-12-01,31,1598.8,3163.2,50.0
16/1-12 Troldhaugen,2023-01-01,31,1730.7,3613.6,63.23
16/1-12 Troldhaugen,2023-02-01,28,1004.1,2068.9,29.29
16/1-12 Troldhaugen,2023-03-01,31,738.5,2169.0,19.35
16/1-12 Troldhaugen,2023-04-01,30,748.5,2327.2,21.33
16/1-12 Troldhaugen,2023-05-01,31,831.9,2278.5,19.03
16/1-12 Troldhaugen,2023-06-01,30,993.8,2432.1,45.0
16/1-12 Troldhaugen,2023-07-01,31,8.1,0.0,20.65
16/1-12 Troldhaugen,2023-08-01,31,805.5,32.5,0.0
16/1-12 Troldhaugen,2023-09-01,30,1777.9,2763.3,78.33
16/1-12 Troldhaugen,2023-10-01,31,424.1,904.9,2.58
16/1-12 Troldhaugen,2023-11-01,30,1159.4,3451.0,41.0
16/1-12 Troldhaugen,2023-12-01,31,8.1,73.0,17.42
16/1-12 Troldhaugen,2024-01-01,31,734.5,1061.2,1.29
16/1-12 Troldhaugen,2024-02-01,29,730.9,1672.2,18.62
16/1-12 Troldhaugen,2024-03-01,31,661.4,2045.2,33.23
16/1-12 Troldhaugen,2024-04-01,30,656.2,1733.9,38.67
16/1-12 Troldhaugen,2024-05-01,31,988.1,1556.2,16.45
16/1-12 Troldhaugen,2024-06-01,30,517.9,809.3,6.0
16/1-12 Troldhaugen,2024-07-01,31,984.0,1968.1,28.39
16/1-12 Troldhaugen,2024-08-01,31,906.9,2300.8,11.61
16/1-12 Troldhaugen,2024-09-01,30,1318.8,3448.9,5.0
16/1-12 Troldhaugen,2024-10-01,31,718.3,1740.9,43.87
