pozo,PROF,GR,RHOB,NPHI,DTC,RDEP,LITH,es_reservorio
15/9-13,1138.7,55.89,1.7746,0.7659,147.84,1.091,Sandstone,1
15/9-13,1138.86,60.93,1.801,0.8003,142.38,1.123,Shale,0
15/9-13,1139.01,62.12,1.8177,0.766,138.26,1.148,Shale,0
15/9-13,1139.16,61.01,1.8293,0.7025,139.2,1.171,Shale,0
15/9-13,1139.31,58.5,1.8139,0.6397,144.29,1.184,Shale,0
15/9-13,1139.46,54.48,1.762,0.588,150.24,1.178,Shale,0
15/9-13,1140.22,55.39,1.7116,0.6942,152.76,1.104,Sandstone,1
15/9-13,1140.83,63.66,1.7683,0.5032,154.02,1.154,Shale,0
15/9-13,1140.98,63.74,1.792,0.5211,150.39,1.171,Shale,0
15/9-13,1141.14,62.34,1.8031,0.5639,147.07,1.18,Shale,0
15/9-13,1141.29,61.37,1.7993,0.5723,148.74,1.194,Shale,0
15/9-13,1141.44,60.94,1.7904,0.5536,153.19,1.21,Shale,0
15/9-13,1141.59,62.41,1.7736,0.5616,157.56,1.218,Shale,0
15/9-13,1141.74,64.64,1.7544,0.5922,159.4,1.221,Shale,0
15/9-13,1141.9,64.41,1.7513,0.6058,156.95,1.224,Shale,0
15/9-13,1142.05,64.06,1.7605,0.6064,153.91,1.219,Shale,0
15/9-13,1142.2,62.69,1.7752,0.6101,150.33,1.208,Shale,0
15/9-13,1142.35,62.6,1.7905,0.6191,147.5,1.204,Shale,0
15/9-13,1142.5,65.26,1.8094,0.6118,145.79,1.204,Shale,0
15/9-13,1142.66,67.89,1.818,0.5589,144.2,1.202,Shale,0
15/9-13,1142.81,70.04,1.8108,0.5041,144.45,1.193,Shale,0
15/9-13,1142.96,67.57,1.7949,0.4804,146.52,1.176,Shale,0
15/9-13,1143.11,64.47,1.7844,0.4784,147.11,1.144,Shale,0
15/9-13,1143.26,60.62,1.7852,0.4671,147.2,1.107,Shale,0
15/9-13,1143.42,56.05,1.7917,0.4504,147.28,1.075,Shale,0
15/9-13,1143.57,48.99,1.7917,0.4633,147.2,1.051,Shale,0
15/9-13,1143.72,42.18,1.7605,0.4918,147.24,1.035,Sandstone,1
15/9-13,1143.87,35.69,1.7366,0.5034,147.12,1.014,Sandstone,1
15/9-13,1144.02,30.92,1.7782,0.4936,147.2,0.988,Sandstone,1
15/9-13,1144.18,28.39,1.864,0.4913,147.28,0.966,Sandstone,1
15/9-13,1144.33,28.75,1.9354,0.4975,147.2,0.948,Sandstone,1
15/9-13,1144.48,30.98,1.9374,0.528,147.16,0.939,Sandstone,1
15/9-13,1144.63,31.79,1.9445,0.5763,147.16,0.937,Sandstone,1
15/9-13,1144.78,30.29,1.9478,0.6133,147.32,0.937,Sandstone,1
15/9-13,1144.94,29.24,1.9525,0.6133,147.24,0.938,Sandstone,1
15/9-13,1145.09,28.31,1.9609,0.5867,147.16,0.939,Sandstone,1
15/9-13,1145.24,27.99,1.9743,0.5649,147.24,0.939,Sandstone,1
15/9-13,1145.39,25.99,1.9772,0.5523,147.2,0.933,Sandstone,1
15/9-13,1145.54,25.53,1.9595,0.5476,147.16,0.926,Sandstone,1
15/9-13,1145.7,26.8,1.9422,0.5339,147.0,0.92,Sandstone,1
15/9-13,1145.85,29.25,1.9268,0.5374,147.07,0.915,Sandstone,1
15/9-13,1146.0,31.14,1.8776,0.5397,147.16,0.911,Sandstone,1
15/9-13,1146.15,31.02,1.7683,0.5474,147.16,0.905,Sandstone,1
15/9-13,1146.3,30.92,1.6577,0.56,147.01,0.9,Sandstone,1
15/9-13,1146.46,28.95,1.602,0.5863,147.07,0.889,Sandstone,1
15/9-13,1146.61,28.46,1.6227,0.6166,147.16,0.877,Sandstone,1
15/9-13,1146.76,29.16,1.6757,0.6227,147.08,0.87,Sandstone,1
15/9-13,1146.91,30.0,1.7314,0.6271,147.04,0.868,Sandstone,1
15/9-13,1147.06,29.44,1.7735,0.6331,147.04,0.871,Sandstone,1
15/9-13,1147.22,29.08,1.8183,0.6157,147.11,0.876,Sandstone,1
15/9-13,1147.37,31.22,1.8512,0.5754,147.16,0.88,Sandstone,1
15/9-13,1147.52,34.3,1.869,0.5499,147.16,0.884,Sandstone,1
15/9-13,1147.67,38.61,1.8217,0.5543,147.01,0.891,Sandstone,1
15/9-13,1147.82,40.48,1.7301,0.5907,147.07,0.903,Sandstone,1
15/9-13,1147.98,39.98,1.6324,0.629,147.16,0.921,Sandstone,1
15/9-13,1148.13,41.13,1.5833,0.6537,147.09,0.941,Sandstone,1
15/9-13,1148.28,46.14,1.6085,0.6653,147.04,0.963,Shale,0
15/9-13,1148.43,53.1,1.6711,0.6706,147.04,0.989,Shale,0
15/9-13,1148.58,58.68,1.7085,0.6543,147.11,1.013,Shale,0
15/9-13,1148.74,60.59,1.7168,0.5904,147.09,1.033,Shale,0
15/9-13,1148.89,59.68,1.7234,0.5162,147.18,1.056,Shale,0
15/9-13,1149.04,61.62,1.748,0.5158,147.14,1.072,Shale,0
15/9-13,1149.19,66.38,1.7665,0.5883,147.11,1.091,Shale,0
15/9-13,1149.34,69.04,1.776,0.6358,147.02,1.109,Shale,0
15/9-13,1149.5,68.28,1.7698,0.6438,146.99,1.122,Shale,0
15/9-13,1149.65,64.62,1.7681,0.6114,147.18,1.127,Shale,0
15/9-13,1149.8,63.01,1.7534,0.6044,147.14,1.128,Shale,0
15/9-13,1149.95,61.44,1.7415,0.5927,147.04,1.133,Shale,0
15/9-13,1150.1,60.85,1.7387,0.5791,147.04,1.138,Shale,0
15/9-13,1150.26,60.16,1.7348,0.5547,147.18,1.151,Shale,0
15/9-13,1150.41,57.95,1.7134,0.5359,147.14,1.171,Sandstone,1
15/9-13,1150.56,55.26,1.7099,0.5331,147.04,1.185,Sandstone,1
15/9-13,1150.71,54.69,1.7391,0.5521,147.04,1.202,Sandstone,1
15/9-13,1150.86,53.43,1.7928,0.5711,147.11,1.216,Sandstone,1
15/9-13,1151.02,54.72,1.816,0.5761,147.16,1.228,Sandstone,1
15/9-13,1151.17,58.24,1.8096,0.542,147.09,1.236,Sandstone,1
15/9-13,1151.32,59.67,1.8005,0.4991,147.04,1.245,Sandstone,1
15/9-13,1151.47,56.15,1.7966,0.4653,147.04,1.246,Sandstone,1
15/9-13,1151.62,51.05,1.7941,0.4816,147.17,1.239,Sandstone,1
15/9-13,1151.78,50.52,1.7896,0.5126,147.15,1.228,Sandstone,1
15/9-13,1151.93,51.47,1.7941,0.5512,147.04,1.216,Sandstone,1
15/9-13,1152.08,57.28,1.7997,0.5735,147.04,1.203,Sandstone,1
15/9-13,1152.23,56.64,1.7867,0.5784,146.98,1.197,Sandstone,1
15/9-13,1152.38,59.32,1.7719,0.5877,147.05,1.192,Sandstone,1
15/9-13,1152.54,60.07,1.7693,0.5764,146.97,1.185,Shale,0
15/9-13,1152.69,64.32,1.7876,0.5719,146.99,1.188,Shale,0
15/9-13,1152.84,61.32,1.7998,0.5592,146.97,1.195,Shale,0
15/9-13,1152.99,59.53,1.7914,0.5609,146.93,1.19,Shale,0
15/9-13,1153.14,58.59,1.7725,0.5557,147.04,1.191,Shale,0
