pozo,fecha,horas,p_fondo,p_cabeza,t_cabeza,choke,dp_choke,oil
15/9-F-1 C,2014-04-22,24.0,289.42,107.36,37.94,43.343,78.94,631.47
15/9-F-1 C,2014-04-23,24.0,270.24,99.19,60.76,47.168,70.63,1166.46
15/9-F-1 C,2014-04-24,24.0,262.84,94.6,63.05,47.732,66.05,1549.81
15/9-F-1 C,2014-04-25,24.0,255.53,89.99,64.55,48.534,61.41,1248.7
15/9-F-1 C,2014-04-26,24.0,247.2,84.78,65.72,49.845,56.15,1345.78
15/9-F-1 C,2014-04-27,24.0,240.74,80.84,66.93,50.297,52.2,1349.56
15/9-F-1 C,2014-04-28,24.0,235.02,77.34,67.85,50.736,48.71,1345.61
15/9-F-1 C,2014-04-29,24.0,232.74,75.95,65.71,50.114,47.38,1279.46
15/9-F-1 C,2014-04-30,24.0,233.3,76.12,62.8,48.927,47.61,1225.62
15/9-F-1 C,2014-05-01,24.0,231.09,74.69,62.38,48.939,46.2,1212.9
15/9-F-1 C,2014-05-02,24.0,231.42,74.73,60.75,48.304,46.15,1074.04
15/9-F-1 C,2014-05-03,24.0,230.77,74.16,60.63,48.173,45.73,1044.17
15/9-F-1 C,2014-05-04,24.0,230.6,73.91,58.28,47.466,45.49,970.2
15/9-F-1 C,2014-05-05,24.0,229.42,72.99,54.9,47.84,44.55,946.12
15/9-F-1 C,2014-05-06,24.0,225.9,70.95,58.88,49.006,42.45,1002.83
15/9-F-1 C,2014-05-07,24.0,225.77,70.71,57.43,47.92,42.05,925.31
15/9-F-1 C,2014-05-08,24.0,225.69,70.55,57.66,47.297,41.16,913.86
15/9-F-1 C,2014-05-09,13.83,227.8,70.95,55.96,29.134,41.75,176.8
15/9-F-1 C,2014-05-10,24.0,226.06,70.9,57.37,48.134,41.9,944.19
15/9-F-1 C,2014-05-11,24.0,225.1,69.94,58.02,47.494,41.48,823.41
15/9-F-1 C,2014-05-12,24.0,226.02,70.23,56.89,46.934,41.81,769.01
15/9-F-1 C,2014-05-13,24.0,226.9,70.33,54.26,46.335,41.93,740.8
15/9-F-1 C,2014-05-14,24.0,225.58,69.37,55.0,45.162,40.98,713.24
15/9-F-1 C,2014-05-15,24.0,225.89,69.07,48.6,46.316,40.65,743.83
15/9-F-1 C,2014-05-16,24.0,225.7,68.59,48.38,46.346,40.14,736.09
15/9-F-1 C,2014-05-17,24.0,223.6,67.26,53.92,47.087,38.84,782.88
15/9-F-1 C,2014-05-18,24.0,220.1,65.41,53.83,47.77,36.99,834.68
15/9-F-1 C,2014-05-19,24.0,220.49,65.31,55.75,47.136,36.91,788.8
15/9-F-1 C,2014-05-20,24.0,220.15,64.92,55.63,47.142,36.51,783.06
15/9-F-1 C,2014-05-21,24.0,220.07,64.69,52.24,46.525,36.28,743.77
15/9-F-1 C,2014-05-22,24.0,219.98,64.44,53.66,46.289,36.02,735.41
