ANIO,OPERADOR_ID,DIAMETRO_PULG,EDAD_ANIOS,PRESION_MAX_PSI,PRESION_INCIDENTE_PSI,RECUBRIMIENTO,CLASE_UBICACION,COSTA_AFUERA,CAUSA,IGNICION,COSTO_USD,GAS_LIBERADO_MPCS,IND_CORROSION_GALVANICA
2010,18516,24.0,58.0,750.0,740.0,ALQUITRAN,2,0,CORROSION,0,334324.0,41176.0,1
2010,31711,26.0,42.0,900.0,833.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,953254.0,91089.0,0
2010,4280,30.0,41.0,845.0,626.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,121194.0,0.0,0
2010,32341,42.0,2.0,1200.0,1005.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,682673.0,239.0,0
2010,1007,16.0,64.0,720.0,644.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,57739.0,2535.0,0
2010,12696,16.0,51.0,903.0,783.0,OTRO,1,0,CORROSION,0,660399.0,4101.0,0
2010,31286,26.0,59.0,600.0,549.0,ALQUITRAN,1,0,CORROSION,1,816911.0,42800.0,0
2010,19610,24.0,50.0,1008.0,550.0,ALQUITRAN,1,0,FUERZA NATURAL,0,110769.0,1.0,0
2010,4280,26.0,63.0,825.0,562.0,ALQUITRAN,1,0,CORROSION,0,130269.0,9.0,1
2010,602,4.0,51.0,685.0,615.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,122026.0,27187.5,0
2010,3,12.75,46.0,909.0,808.0,OTRO,1,0,OTRA CAUSA,0,417963.0,6838.0,0
2010,405,16.0,32.0,1300.0,950.0,OTRO,1,1,CORROSION,0,492434.0,1507.0,0
2010,19160,20.0,40.0,1250.0,740.0,OTRO,1,1,CORROSION,1,343051.0,4266.0,0
2010,18646,6.625,1.0,1200.0,800.0,OTRO,1,1,OTRA FUERZA EXTERNA,0,441939.0,45035.0,0
2010,405,16.0,32.0,1300.0,950.0,OTRO,1,1,CORROSION,0,522865.0,1000.0,0
2010,19160,12.75,37.0,1440.0,750.0,OTRO,1,1,OTRA FUERZA EXTERNA,0,2498009.0,897.0,0
2010,405,12.75,42.0,1300.0,970.0,OTRO,1,1,CORROSION,0,302695.0,4000.0,0
2010,31618,36.0,40.0,1051.0,950.0,OTRO,1,0,DANO POR EXCAVACION,1,761544.0,172000.0,0
2010,31618,12.75,27.0,1250.0,850.0,OTRO,1,1,CORROSION,0,304303.0,3000.0,0
2010,13750,30.0,1.0,1000.0,739.0,OTRO,1,0,OPERACION INCORRECTA,0,155090.0,1000.0,0
2010,31728,30.0,59.0,936.0,780.0,ASFALTO,1,0,FALLA DE MATERIAL O SOLDADURA,0,416580.0,188.0,0
2010,19235,20.0,35.0,1440.0,899.0,OTRO,1,1,CORROSION,0,1046379.0,424.0,0
2010,15931,4.0,45.0,691.0,450.0,CINTA FRIA,1,0,FALLA DE MATERIAL O SOLDADURA,0,536662.0,250000.0,0
2010,32099,36.0,40.0,1050.0,958.0,ASFALTO,1,0,OTRA CAUSA,0,1633679.0,208458.0,0
2010,31728,8.0,70.0,577.0,528.0,OTRO,1,0,OTRA FUERZA EXTERNA,0,115348.0,3110.0,0
2010,19410,12.75,44.0,400.0,35.0,OTRO,1,0,DANO POR EXCAVACION,0,91291.0,0.0,0
2010,18484,26.0,79.0,400.0,376.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,352933.0,63410.0,0
2010,19160,26.0,20.0,1200.0,740.0,OTRO,1,1,CORROSION,0,982463.0,6.0,0
2010,405,12.75,42.0,1300.0,944.0,ALQUITRAN,1,1,CORROSION,0,1145632.0,50000.0,0
2010,19160,10.75,51.0,1076.0,830.0,OTRO,1,1,FALLA DE MATERIAL O SOLDADURA,1,611658.0,1375.0,0
2010,405,16.0,40.0,1250.0,900.0,OTRO,1,1,CORROSION,0,175424.0,1000.0,0
2010,19235,16.0,40.0,1440.0,950.0,OTRO,1,1,CORROSION,0,505537.0,8040.0,0
2010,13120,26.0,62.0,712.0,629.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,180668.0,1.0,0
2010,2616,20.0,82.0,288.0,284.0,SIN RECUBRIMIENTO,1,0,CORROSION,0,409171.0,23500.0,1
2010,15007,30.0,54.0,400.0,386.0,ASFALTO,3,0,FALLA DE MATERIAL O SOLDADURA,1,679471182.0,47600.0,0
2010,19235,20.0,41.0,1440.0,900.0,OTRO,1,1,CORROSION,0,367025.0,400.0,0
2010,18516,6.625,55.0,990.0,811.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,43210.0,7153.0,0
2010,405,16.0,32.0,1300.0,875.0,OTRO,1,1,CORROSION,0,247239.0,2000.0,0
2010,4070,12.75,60.0,823.0,744.0,OTRO,3,0,FALLA DE MATERIAL O SOLDADURA,0,70748.0,50.0,0
2010,4070,12.75,60.0,823.0,744.0,OTRO,1,0,FALLA DE MATERIAL O SOLDADURA,0,73791.0,50.0,0
2010,19235,20.0,35.0,1440.0,960.0,OTRO,1,1,CORROSION,0,789616.0,400.0,0
2010,19570,20.0,51.0,1170.0,810.0,ASFALTO,1,0,FALLA DE MATERIAL O SOLDADURA,0,724241.0,10.0,0
2010,15007,12.0,58.0,408.0,402.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,81769.0,12000.0,0
2010,32513,8.0,44.0,400.0,385.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,207415.0,48299.0,0
2010,31728,20.0,61.0,550.0,546.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,156142.0,24320.0,0
2010,10035,8.0,61.0,695.0,498.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,20289.0,2770.0,0
2010,31618,20.0,52.0,935.0,850.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,146695.0,9736.0,0
2010,405,8.625,54.0,1090.0,775.0,ALQUITRAN,1,0,CORROSION,0,78583.0,1000.0,0
2010,22655,8.625,49.0,700.0,650.0,ALQUITRAN,1,0,DANO POR EXCAVACION,0,38937.0,5230.0,0
2010,22175,12.0,42.0,1300.0,920.0,OTRO,1,1,CORROSION,0,211761.0,640.0,0
2010,405,10.75,43.0,1300.0,100.0,OTRO,1,1,CORROSION,0,87980.0,10.0,0
2010,19160,36.0,36.0,1200.0,810.0,OTRO,1,1,FALLA DE MATERIAL O SOLDADURA,0,730951.0,1.0,0
2010,19160,30.0,62.0,750.0,671.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,105438.0,14980.0,0
2010,13710,12.0,41.0,1654.0,1429.0,ALQUITRAN,1,0,CORROSION,1,2511486.0,10201.0,0
2010,18646,16.0,34.0,1200.0,775.0,OTRO,1,1,CORROSION,0,375808.0,1.0,0
2010,15007,6.0,25.0,650.0,250.0,ASFALTO,1,0,DANO POR EXCAVACION,0,99811.0,8500.0,0
2010,2564,20.0,63.0,920.0,808.0,ALQUITRAN,1,0,FALLA DE MATERIAL O SOLDADURA,0,126966.0,313870.0,0
2010,12576,20.0,0.0,200.0,182.0,OTRO,3,0,OTRA FUERZA EXTERNA,0,189015.0,1897.0,0
2010,19160,24.0,63.0,750.0,717.0,ALQUITRAN,1,0,CORROSION,0,472989.0,69908.0,0
