pozo,instancia,t_min,p_antes_choke,p_arbol,p_anular,p_gaslift,t_despues_choke,etiqueta
WELL-00001,WELL-00001_20170226130146,0.0,53.33321,133.1329,144.6344,33.82723,74.21571,normal
WELL-00001,WELL-00001_20170226130146,0.5,53.4164,133.1576,144.6344,33.82735,74.22971,normal
WELL-00001,WELL-00001_20170226130146,1.0,53.462,133.1824,144.6344,33.82748,74.24371,normal
WELL-00001,WELL-00001_20170226130146,1.5,53.45844,133.2071,144.6115,33.8276,74.24637,normal
WELL-00001,WELL-00001_20170226130146,2.0,53.48923,133.2318,144.5134,33.82772,74.23604,normal
WELL-00001,WELL-00001_20170226130146,2.5,53.57154,133.2566,144.4349,33.82784,74.22572,normal
WELL-00001,WELL-00001_20170226130146,3.0,53.61398,133.2286,144.4349,33.82796,74.21539,normal
WELL-00001,WELL-00001_20170226130146,3.5,53.61083,133.1815,144.4349,33.82808,74.20507,normal
WELL-00001,WELL-00001_20170226130146,4.0,53.3478,133.1344,144.4349,33.8282,74.19474,normal
WELL-00001,WELL-00001_20170226130146,4.5,52.86821,133.0872,144.4349,33.82832,74.18442,normal
WELL-00001,WELL-00001_20170226130146,5.0,53.4715,133.1135,144.4349,33.82845,74.1741,normal
WELL-00001,WELL-00001_20170226130146,5.5,53.48555,133.2133,144.4349,33.82857,74.16377,normal
WELL-00001,WELL-00001_20170226130146,6.0,53.38177,133.2133,144.4349,33.82869,74.15345,normal
WELL-00001,WELL-00001_20170226130146,6.5,53.38594,133.1135,144.4349,33.82881,74.15276,normal
WELL-00001,WELL-00001_20170226130146,7.0,53.48458,133.1127,144.4349,33.82893,74.20023,normal
WELL-00001,WELL-00001_20170226130146,7.5,53.58322,133.2108,144.4349,33.82905,74.2477,normal
WELL-00001,WELL-00001_20170226130146,8.0,53.68186,133.2415,144.4349,33.82917,74.29517,normal
WELL-00001,WELL-00001_20170226130146,8.5,53.70406,133.1951,144.4349,33.82929,74.32648,normal
WELL-00001,WELL-00001_20170226130146,9.0,53.6498,133.1487,144.4349,33.82941,74.27694,normal
WELL-00001,WELL-00001_20170226130146,9.5,53.66537,133.1023,144.4349,33.82954,74.22741,normal
WELL-00001,WELL-00001_20170226130146,10.0,53.75075,133.0803,144.4349,33.82966,74.25641,normal
WELL-00001,WELL-00001_20170226130146,10.5,53.49855,133.18,144.4349,33.82978,74.29749,normal
WELL-00001,WELL-00001_20170226130146,11.0,52.86055,133.2611,144.4349,33.8299,74.13978,normal
WELL-00001,WELL-00001_20170226130146,11.5,52.9754,133.2489,144.4349,33.83002,73.94231,normal
WELL-00001,WELL-00001_20170226130146,12.0,53.27846,133.2367,144.4349,33.83014,74.02016,normal
WELL-00001,WELL-00001_20170226130146,12.5,53.3497,133.2245,144.4376,33.83026,74.15308,normal
