PROF,GR,DEN,NEU,RDEP,AC
3550.21,55.76,2.1705,51.24,1.071,54.59
3550.36,55.07,2.1705,51.24,1.027,54.59
3550.51,56.09,2.1705,51.24,1.014,54.59
3550.66,58.83,2.1705,51.24,1.035,54.59
3550.82,60.39,2.1705,51.24,0.961,54.59
3550.97,59.15,2.1705,51.24,0.852,54.59
3551.12,55.49,2.1705,51.24,0.866,54.59
3551.27,52.2,2.1705,51.24,1.082,54.59
3551.43,51.33,2.1705,51.24,1.191,54.59
3551.58,50.77,2.1705,51.24,1.045,54.59
3551.73,49.16,2.1705,51.24,1.09,54.59
3551.88,48.81,2.1705,51.24,1.106,54.59
3552.04,49.24,2.1705,51.24,1.09,54.59
3552.19,48.2,2.1705,51.24,0.965,54.59
3552.34,46.01,2.1705,51.24,0.915,54.59
3552.49,45.48,2.1705,51.24,0.981,54.59
3552.65,47.62,2.1705,51.24,1.095,54.59
3552.8,49.9,2.1605,60.25,1.067,54.48
3552.95,32.92,2.1237,66.54,1.052,54.18
3553.25,27.88,2.1583,73.95,1.016,54.32
3553.41,23.14,2.1758,82.93,1.084,54.28
3553.56,22.31,2.1915,72.35,1.025,55.0
3553.71,21.79,2.342,81.81,0.964,53.88
3553.86,18.87,2.4348,78.53,0.928,55.83
3554.02,18.41,2.0894,82.22,0.949,58.43
3554.17,19.64,1.943,67.26,0.993,56.52
3554.32,24.58,2.1599,71.21,1.071,55.75
3554.47,22.41,2.1147,61.0,1.095,53.68
3554.63,20.18,2.0145,80.66,0.989,51.95
3554.78,22.46,2.0027,90.91,0.895,54.7
3554.93,25.08,2.0299,66.47,0.85,54.69
3555.08,27.62,2.0633,93.94,0.906,54.66
3555.24,26.1,2.0872,78.51,0.993,54.54
3555.39,30.23,2.1109,99.31,1.053,54.88
3555.54,28.31,2.1112,74.08,1.032,54.47
3555.69,28.35,2.0834,73.21,0.996,54.68
3555.85,24.85,2.0789,61.82,0.958,54.84
3556.0,25.23,2.0857,62.04,0.96,54.77
3556.15,29.58,2.1106,78.32,1.003,54.7
3556.3,32.25,2.1577,80.42,1.042,54.46
3556.46,32.25,2.1479,70.76,1.026,55.09
3556.61,28.45,2.1412,79.14,0.992,55.03
3556.76,24.83,2.1848,66.18,0.988,54.38
3556.91,31.35,2.1982,61.17,1.037,53.49
3557.06,31.35,2.2003,66.48,1.111,53.62
3557.22,32.01,2.1876,63.33,1.154,54.12
3557.37,37.66,2.1552,70.51,1.188,53.68
3557.52,38.23,2.1703,61.72,1.244,54.11
3557.67,35.16,2.1959,57.64,1.209,54.13
3557.83,36.42,2.2165,63.13,1.186,53.8
3557.98,39.13,2.2059,62.49,1.167,53.88
3558.13,33.14,2.1812,68.26,1.074,54.99
3558.28,37.05,2.1871,51.39,1.129,55.33
3558.44,33.29,2.1907,55.84,1.006,54.53
3558.59,34.13,2.1759,50.51,1.01,54.54
3558.74,34.04,2.1648,49.37,1.13,53.95
3558.89,34.04,2.1482,61.84,1.246,55.42
3559.05,32.74,2.1566,70.0,1.087,53.97
3559.2,35.7,2.1773,87.55,0.871,54.84
3559.35,35.36,2.1951,53.82,0.744,53.37
3559.5,30.49,2.2043,81.65,0.798,53.56
3568.19,50.16,2.324,47.47,0.904,94.27
3568.34,47.04,2.3142,44.84,1.26,111.08
3568.49,52.52,2.2867,50.14,1.404,121.8
3568.65,55.89,2.2732,64.07,1.445,137.68
3568.8,53.68,2.2753,52.82,1.796,135.35
3568.95,62.74,2.2937,42.1,1.184,132.24
3569.1,53.84,2.303,74.27,0.883,123.92
3569.26,52.85,2.2769,45.98,0.952,115.06
3569.41,58.23,2.2808,49.91,0.868,121.88
3569.56,57.34,2.3272,60.09,0.83,125.35
3569.71,57.32,2.3638,46.25,0.917,119.55
3569.87,60.95,2.3816,57.89,0.823,117.57
3570.02,63.67,2.3776,50.54,0.83,114.54
3570.17,54.55,2.3585,30.26,0.934,107.86
3570.32,54.38,2.325,39.45,1.005,106.94
3570.48,47.78,2.3105,38.81,0.887,102.3
3570.63,39.07,2.32,38.9,1.036,99.1
3570.78,42.9,2.3266,27.83,1.034,98.61
3570.93,40.98,2.3296,33.61,1.118,98.33
3571.09,47.73,2.3291,39.59,1.063,98.38
3571.24,51.04,2.3399,81.32,1.164,97.51
3571.39,60.36,2.3372,40.85,1.026,98.62
3571.54,68.14,2.3284,55.48,1.133,98.04
3571.7,68.98,2.3292,57.53,1.124,101.15
3571.85,66.4,2.2934,44.26,1.006,109.8
3572.0,65.24,2.2803,75.77,0.944,118.41
3572.15,56.44,2.2913,60.35,1.068,129.29
3572.3,52.58,2.2846,48.37,0.97,133.08
3572.46,63.21,2.3077,50.66,0.894,129.13
3572.61,63.97,2.3758,70.61,1.038,124.73
3572.76,59.81,2.3995,52.5,0.799,121.16
3572.91,52.66,2.3393,47.22,0.765,117.0
3573.07,44.79,2.3424,46.28,0.93,112.96
3573.22,48.37,2.3985,44.97,0.814,115.42
3573.37,51.49,2.3599,32.89,0.856,114.05
3573.52,49.68,2.2917,38.54,0.975,111.11
3573.68,45.86,2.2834,47.82,0.924,111.63
3573.83,46.58,2.3259,38.09,1.022,105.39
3573.98,42.41,2.3597,34.39,1.356,99.72
3574.13,48.17,2.3675,38.0,1.079,100.85
3574.29,47.41,2.3632,43.78,1.194,101.08
3574.44,46.88,2.3668,40.11,1.496,100.69
3574.59,45.73,2.3955,30.35,0.821,103.06
3574.74,44.35,2.3905,31.34,1.106,107.46
3574.9,49.23,2.366,39.18,1.019,110.02
3575.05,50.84,2.3156,37.32,1.163,106.83
3575.2,51.01,2.3094,31.68,0.697,102.47
3575.35,52.19,2.3289,34.14,1.383,96.87
3575.51,55.9,2.3321,49.03,1.35,95.04
3575.66,57.88,2.3315,35.3,1.016,93.46
3575.81,51.66,2.3275,50.36,1.323,93.01
3575.96,58.68,2.3234,41.22,1.09,97.02
3576.11,53.75,2.3238,36.93,0.984,98.24
3576.27,51.98,2.3148,45.44,1.127,101.61
3576.42,51.06,2.3028,34.31,1.135,100.61
3576.57,47.98,2.2988,30.82,1.079,103.0
3576.72,52.48,2.3045,40.78,1.002,103.16
3576.88,53.26,2.3021,39.66,1.033,103.16
3577.03,55.54,2.2913,38.08,0.997,104.54
3577.18,50.85,2.2875,31.93,1.15,102.86
3577.33,52.52,2.2778,35.62,1.035,101.96
3577.49,43.79,2.2581,34.32,0.964,104.07
3577.64,43.0,2.2555,30.35,1.149,99.46
3577.79,40.1,2.2699,35.71,0.978,98.46
3577.94,42.02,2.2917,40.91,1.026,114.55
3578.1,53.49,2.3347,38.16,1.096,113.83
3578.25,60.91,2.3764,42.27,0.999,114.55
3578.4,56.24,2.3889,54.42,0.932,116.32
3578.55,55.54,2.3363,33.53,1.035,116.34
3578.71,49.1,2.2609,58.66,1.016,115.79
3578.86,46.36,2.2636,59.66,0.963,110.01
3579.01,46.45,2.2995,38.87,1.012,108.55
3579.16,49.47,2.3265,32.72,1.088,109.45
3579.32,43.18,2.3586,38.87,1.206,95.72
3579.47,50.21,2.3784,45.52,1.451,127.84
3579.62,46.61,2.4186,41.5,1.683,117.96
3579.77,41.63,2.3934,34.35,1.734,121.2
3579.92,46.37,2.3077,44.62,1.716,123.85
3580.53,51.67,2.3246,60.4,1.509,117.85
3580.69,53.17,2.3243,58.9,1.272,114.58
3580.84,57.43,2.3324,48.57,1.201,110.13
3580.99,53.3,2.3399,53.28,1.12,112.07
3581.14,56.3,2.3542,38.39,1.027,115.21
3581.3,57.39,2.3874,67.21,0.952,143.16
3581.45,53.62,2.3973,51.96,0.943,138.06
3581.6,56.72,2.373,64.29,0.964,131.25
3581.75,51.06,2.3333,51.77,1.004,140.53
3581.91,54.27,2.3087,44.29,1.007,149.26
3582.06,44.59,2.3168,38.63,1.006,140.77
3582.21,51.51,2.3331,58.29,1.072,101.28
3582.36,46.82,2.3808,79.92,1.017,106.31
3582.52,54.44,2.4057,54.07,1.084,102.05
3582.67,52.41,2.4039,47.27,1.122,100.71
3582.82,62.19,2.4023,46.14,1.131,102.87
3582.97,62.79,2.3977,61.15,1.234,100.08
3583.13,49.08,2.3967,52.89,1.142,101.69
3583.28,55.54,2.4037,39.9,1.154,101.07
3583.43,50.88,2.3844,30.06,1.156,93.41
3583.58,51.12,2.3459,38.17,1.151,94.75
3583.73,53.93,2.3262,55.65,1.095,103.37
3583.89,53.69,2.3322,42.14,1.125,105.32
3584.04,54.39,2.3605,53.08,1.169,114.6
3584.19,60.8,2.3712,46.19,0.996,115.09
3584.34,63.71,2.373,41.21,1.012,117.0
3584.5,64.59,2.373,42.92,1.024,116.73
3584.65,65.36,2.3651,49.71,0.999,116.64
3584.8,60.49,2.3654,45.36,0.928,113.24
3584.95,57.28,2.3638,42.97,0.956,112.69
3585.11,57.04,2.3485,52.03,0.981,112.65
